subject1_marks,subject1_outof,subject2_marks,subject2_outof,subject3_marks,subject3_outof,subject4_marks,subject4_outof,subject5_marks,subject5_outof,average_marks_percent,previous_year_percentage,attendance,study_hours,sleep_hours,focus_time,behaviour_score,final_score,risk_level
52,80,28,70,50,100,36,60,31,70,51.857142857142854,53.81043190254382,92.12618341767832,2.3029462391717823,6.422313212104037,1.5428958673966868,57.671039407452525,49.861612903472604,High
78,100,62,70,39,80,64,70,80,80,81.35,82.20553415655876,73.81477205489057,2.279695379872906,8.042183803151303,2.2328272010097456,58.50670301431557,77.24454449626352,Low
30,80,31,80,34,70,50,50,57,60,63.96428571428571,60.837095417473684,98.29089959426247,3.387599756733957,5.467241365040026,0.5,55.705087526765816,59.69395764114802,Medium
37,80,80,80,82,100,42,60,68,80,76.65,78.91858778576358,75.3790126350042,2.1876935996328495,7.672843917724955,2.824799617996761,67.66283343979651,78.77198247990462,Low
19,50,56,60,58,60,30,80,22,50,61.9,55.62565371809488,78.6561461539167,4.762729542518871,5.76371183200596,2.760004316405744,90.09295320463781,69.27141009799936,Low
55,70,49,50,76,100,21,70,43,100,65.11428571428571,88.72035948967243,68.95531033919148,2.5216339319817584,6.933049503777779,0.8649996331268777,50.76186668500551,69.16712604091464,Low
53,80,52,100,44,100,49,70,36,80,55.45,53.96487004801862,74.87757447152333,3.6017379978297663,8.27400531822523,2.2056934960450234,71.56207238590022,57.856232930981406,Medium
43,80,48,70,47,50,41,50,27,50,70.46428571428571,51.87805338134142,84.1462153266652,2.525380258103648,6.681949457883063,2.3623490612268077,67.29191472597108,67.79024265710662,Low
26,50,20,60,31,50,69,70,19,60,55.51428571428571,52.42192355170362,78.99001897782587,4.484419287523753,5.430873226801892,2.2704181271001134,82.44737604402125,63.82207212186152,Medium
49,60,78,80,37,70,99,100,68,70,85.63333333333333,82.53371691899383,84.53871937689023,5.320607761113742,7.0890678865390235,1.6668349091588999,88.32829864041545,88.16537797737193,Minimal
42,80,20,60,40,70,64,80,32,50,57.3952380952381,60.76909206825836,91.11747630344387,1.994902329884263,7.74490467214031,3.4978552938565763,74.03932386775277,60.58615388998492,Medium
39,80,19,60,26,50,66,100,29,70,47.969047619047615,54.722721695346664,67.22202616564392,3.1304541595528628,7.116340011730537,2.736533372570457,75.39207793779758,50.70655069190444,Medium
34,80,22,50,61,80,58,80,49,50,66.65,65.64906345704732,56.785157653987405,3.180790852179937,6.9827135661623085,0.935940747588172,56.84583176307983,65.49362664529934,Low
37,70,26,50,42,70,80,100,47,70,62.4,62.491013243145346,97.4424089258878,2.6824118001144526,9.992186083248582,2.5005338782120052,67.57369767585335,60.35499842265103,Medium
24,70,69,70,42,50,75,100,35,100,65.37142857142858,64.50250184925696,88.88408981537286,2.457045321186397,7.854754774393969,2.8364569346770536,71.8234315401718,64.9033110582696,Medium
38,70,45,50,20,60,49,60,44,60,66.52380952380952,59.345310435768425,65.80352466397937,3.53972884618648,8.956816778274558,1.4664453000347897,62.64209392861064,60.34233328673461,Medium
42,60,89,100,24,60,50,50,49,100,69.6,78.9161692958046,91.85843132604934,3.278755389811686,7.193799014257554,1.077947702671988,62.75287405744167,65.34459915570311,Low
49,60,45,70,39,60,39,60,20,50,63.19047619047619,65.67141328631382,57.43624893856932,4.1596704023669,6.437961085984342,2.968318906509311,87.02351798261904,65.36816618279755,Low
53,80,60,70,39,80,59,100,37,70,62.51428571428571,53.35888561660009,56.11280540507163,1.9709413372066793,7.924005914284672,3.4250328616210934,69.5710225287849,60.2721723828228,Medium
15,50,49,60,15,50,93,100,51,100,57.13333333333334,48.84832115772157,82.74764518676525,2.5927364481861637,6.103201969825884,2.5592739054879914,69.79486805541808,59.37067548911366,Medium
56,80,52,100,27,60,63,100,54,80,59.5,81.80923336651078,81.00996225209505,4.1671594402785495,8.698922322578571,2.2752545051216178,78.52513567921117,66.41213453322729,Low
47,80,73,80,53,70,26,50,21,70,61.542857142857144,63.50980021700237,72.52760576215287,2.75025329957127,6.457698971875284,1.5285081944446308,60.04037551637429,64.13810957868647,Medium
76,80,28,60,65,100,35,50,65,100,68.33333333333333,72.19549240658885,71.47846450487019,0.8547940656818618,5.65737288528996,1.4646378174550296,37.342165281855934,69.10624438875148,Low
41,100,27,50,49,50,44,50,34,50,69.8,66.13768334489023,91.38971585337198,2.712930242556294,7.939372182174641,1.783167630169166,64.0999503125918,67.02447931702308,Low
42,80,33,60,98,100,32,70,35,50,64.24285714285715,69.63760544951893,88.00467324163749,2.161024106289699,6.990301249129612,0.5,45.41070838706074,68.21041164764385,Low
47,100,32,80,34,60,36,100,69,100,49.733333333333334,46.436065194005074,82.78459924829164,1.262298790203211,5.451789848185789,1.425244622998051,42.153894056841786,48.00532113661581,High
83,100,30,70,36,60,65,70,87,100,73.14285714285714,79.10646841580993,89.22007345166006,3.6656313530683544,7.806490701218787,1.1166225691622935,66.74454656747248,75.38410273650673,Low
39,50,20,50,49,60,90,100,65,100,70.93333333333334,74.24872504742629,80.65220693526285,5.730913557080644,7.446849353554921,1.654446238713302,91.91881865146574,78.94332205601665,Low
83,100,36,70,25,50,33,80,47,80,56.885714285714286,46.71576807220776,89.40807693097003,2.810731250095076,5.509436248930275,2.826080323214381,72.30892342619157,51.98064660342331,Medium
60,80,50,50,37,70,47,50,58,100,75.97142857142858,75.11190732732597,87.7867188950426,3.936330197304002,7.166187958368001,1.0146153859921394,68.28812772246567,75.6859011226038,Low
15,50,49,60,25,50,55,100,36,50,57.733333333333334,59.54400171740485,94.79017054083502,3.2624197107313693,6.467186738833766,3.3110879890991622,85.21409405238882,61.33818230206285,Medium
43,70,82,100,46,100,30,100,65,70,62.45714285714287,52.87701204834987,86.42590171970245,4.272536176932562,8.69550809661,1.3376855368674294,70.74480730997016,61.416302915253524,Medium
51,60,70,70,24,80,28,80,37,70,60.57142857142858,65.08906021852461,96.42357869038818,1.8420918473038748,7.754656605998283,2.8467395894796703,66.53067223687427,56.34289764341341,Medium
54,70,80,80,38,50,53,80,34,60,75.21190476190478,75.10887695146022,89.55686515635591,2.6623378721386963,5.168837484185492,1.995040688260902,62.52947211963158,75.14271669788974,Low
