subject1_marks,subject1_outof,subject2_marks,subject2_outof,subject3_marks,subject3_outof,subject4_marks,subject4_outof,subject5_marks,subject5_outof,average_marks_percent,previous_year_percentage,attendance,study_hours,sleep_hours,focus_time,final_score,risk_level
60,86,71,91,71,93,52,78,74,90,74.60447895856748,74.06774293390029,57.1000909402199,3.3453876322256724,6.252352058289487,1.7428383046650153,67.07792020181563,Medium
66,99,34,65,34,74,59,72,62,100,61.772949872949866,69.14497410228383,82.40435560542281,1.5714224388616151,4.958451206766447,2.290006477911415,59.87183382903534,High
69,94,85,100,89,93,53,67,67,91,81.36680625772912,82.18900409313945,93.15339981267455,3.8600521763449365,8.608728389674276,1.732862058690213,76.45596558271649,Low
63,90,90,95,61,93,54,84,67,82,75.26425426272209,69.18935707840072,64.65702551290353,4.958409264536474,6.8272461761724195,1.2887042896666594,69.77973776316907,Medium
61,87,43,61,47,75,57,62,53,96,70.08344593567838,69.58565801727032,72.51033080575597,3.7224079014585048,7.645671919569428,2.2414540407637498,67.89176076917907,Medium
88,100,62,88,51,71,47,61,65,86,76.5832214093489,79.03803439883711,61.415521281258904,4.834192751911535,7.180215027189664,4.842023555650169,82.76403741559737,Low
70,86,48,63,59,77,80,96,69,89,79.01412497440718,80.9522429060004,68.06308645351974,4.521093783949918,8.990240108637868,1.6980254015448517,79.24021180306279,Low
65,98,52,60,55,84,90,99,86,94,80.17356807326414,84.19426689073742,51.09852854012537,1.8071179633992593,6.28155067219328,2.0118498982114303,71.58852629361833,Medium
61,90,55,78,72,84,40,54,81,81,79.61579161579161,80.23065749063622,97.68846981064135,2.8969706261003476,6.124861866495467,1.981589150860838,76.46855605305494,Low
72,90,73,85,63,80,69,88,51,92,75.69524529179262,76.02768917805128,70.79451066060976,1.3174478644002472,5.800699330450032,2.661299689057431,64.90485895623888,Medium
80,100,67,84,59,91,50,60,76,83,79.89933359812878,74.28943239136801,89.44350549090402,0.730647312913061,5.808142296701313,4.295774924567526,67.51329310628967,Medium
56,83,69,69,62,91,39,60,72,97,74.96571035473035,81.079399386179,57.132171867825484,0.8468792539527201,5.3788510535861835,2.3095516619734027,69.90795742467138,Medium
62,87,52,74,52,93,72,96,52,80,67.48972331619719,66.26730899540145,90.61775220501994,5.683749614300898,8.903150625732735,4.127665838148689,71.20391731546712,Medium
79,82,41,81,41,70,69,91,64,81,72.07333948797363,68.15520023348434,93.00736554811004,5.914956025239082,8.35391017150956,1.017554492446417,76.21190821728516,Low
67,100,46,80,69,87,60,96,48,81,65.11392081736909,75.62555237016312,85.77385643438396,1.0223762942741197,5.583365024786081,4.527082421069509,63.990515197787886,Medium
