subject1_marks,subject1_outof,subject2_marks,subject2_outof,subject3_marks,subject3_outof,subject4_marks,subject4_outof,subject5_marks,subject5_outof,average_marks_percent,previous_year_percentage,attendance,study_hours,sleep_hours,focus_time,final_score,risk_level
55,86,67,91,67,93,47,78,72,90,69.97585660151302,69.30493657067902,57.1000909402199,3.3453876322256724,6.252352058289487,1.7428383046650153,77.63223434962748,Low
59,99,27,65,25,74,56,72,54,100,53.33919653919653,62.55422682586398,82.40435560542281,1.5714224388616151,4.958451206766447,2.290006477911415,66.91237176996775,Medium
65,94,83,100,89,93,50,67,63,91,78.34109916076132,79.36884645502421,93.15339981267455,3.8600521763449365,8.608728389674276,1.732862058690213,92.65085506565818,Low
58,90,90,95,55,93,48,84,64,82,70.70254182532123,63.10892034491952,64.65702551290353,4.958409264536474,6.8272461761724195,1.2887042896666594,84.46400750606276,Low
56,87,40,61,41,75,56,62,44,96,64.15283344578371,63.530598547773636,72.51033080575597,3.7224079014585048,7.645671919569428,2.2414540407637498,84.1869252129043,Low
86,100,57,88,47,71,45,61,62,86,72.56668508608229,75.63520132294255,61.415521281258904,4.834192751911535,7.180215027189664,4.842023555650169,100.0,Low
67,86,45,63,55,77,77,96,65,89,74.80123215996616,77.22387957445767,68.06308645351974,4.521093783949918,8.990240108637868,1.6980254015448517,100.0,Low
58,98,51,60,49,84,89,99,86,94,76.78107168076774,81.80694520260936,51.09852854012537,1.8071179633992593,6.28155067219328,2.0118498982114303,79.84791548581566,Low
55,90,50,78,71,84,37,54,81,81,75.65120065120065,76.41978299475642,97.68846981064135,2.8969706261003476,6.124861866495467,1.981589150860838,88.371869813591,Low
69,90,71,85,60,80,65,88,42,92,70.94237774161047,71.3579325994338,70.79451066060976,1.3174478644002472,5.800699330450032,2.661299689057431,69.49469604658219,Medium
77,100,64,84,52,91,49,60,75,83,76.4722891566265,69.45991264817555,89.44350549090402,0.730647312913061,5.808142296701313,4.295774924567526,73.02389956784225,Medium
50,83,69,69,56,91,35,60,67,97,69.83698473513404,77.47909602444486,57.132171867825484,0.8468792539527201,5.3788510535861835,2.3095516619734027,76.62809274350646,Low
57,87,48,74,43,93,67,96,46,80,60.78206641012537,59.254048509130705,90.61775220501994,5.683749614300898,8.903150625732735,4.127665838148689,100.0,Low
80,82,32,81,35,70,65,91,61,81,66.76087237062846,61.86319830251685,93.00736554811004,5.914956025239082,8.35391017150956,1.017554492446417,99.47760589649275,Low
61,100,38,80,65,87,53,96,40,81,57.5607386121754,70.70027805316795,85.77385643438396,1.0223762942741197,5.583365024786081,4.527082421069509,76.58689153612717,Low
79,81,56,81,46,81,80,80,42,83,74.8118399524022,83.21226839361597,95.16041624917027,2.3435638934462677,5.526145223249178,1.3338683758577057,83.22659970182977,Low
78,91,81,95,78,81,39,80,36,82,71.98523578594181,69.74649117465506,58.35985647340682,1.1293137408581249,4.517669935925274,0.6764067458713736,68.76894143686853,Medium
81,85,55,93,66,94,31,62,75,96,70.55433371014844,61.15097698887131,73.824091439431,5.08825852852933,8.385154302547464,1.2125951616967852,93.77034725914655,Low
49,81,59,89,39,80,56,63,69,93,67.72367985358804,64.13132274721538,81.00547660080787,3.229634004021549,5.85883025413303,1.3583740608079338,73.1626897887594,Medium
67,100,67,84,51,97,79,98,46,81,67.34831854085658,75.2439965221561,79.80964853487437,3.9169396575905213,6.863076960725639,2.788268574260116,86.39358026707052,Low
50,80,48,87,66,77,51,94,88,95,70.05471952073874,70.93828603926553,93.0520467263149,3.4695097615425343,8.501888644404655,2.524722317388751,84.51658656111347,Low
79,91,36,60,66,97,71,91,54,90,70.57528038971338,63.82809865653344,60.78456839864428,4.406394711123938,6.040503242371028,3.7214348761926885,90.34052717694404,Low
55,91,33,63,64,76,68,74,82,92,75.61067316216057,79.53058087329805,58.782191626943316,2.2552273382438335,8.03434021711421,0.7292798860714856,80.9089560052182,Low
77,96,57,66,59,92,57,82,57,80,74.29291992030593,73.24362977724071,62.668929742897575,1.2562134499151778,6.151428131243786,2.73967813119238,77.73304668610791,Low
71,89,63,68,55,90,82,82,48,81,78.55854201855523,75.31503217959441,94.57750247064354,0.5969100150134269,7.504704695088764,1.9961205211552138,78.63180988320688,Low
65,95,43,95,61,71,28,64,55,81,62.25018761039271,59.385985212393926,97.05135413287874,2.9513108874426597,6.155922035960906,3.3381784944095383,81.33500863913814,Low
84,94,52,78,45,80,52,65,51,100,68.65567375886525,75.18763629954964,78.48150521349987,5.493089358352905,5.963795672773463,0.6966487585625829,95.58390860920218,Low
67,94,54,60,70,91,81,93,61,84,79.58309889607077,82.31628063784116,75.06859672852599,2.1789659590674666,8.95354619780954,0.6572066401317171,89.77226028730149,Low
80,98,52,69,52,79,72,87,58,83,75.091179094775,67.66089066072652,80.26928040063282,1.5777625162459268,7.061749210017875,2.4226322062833345,79.89212051369007,Low
56,91,59,95,59,72,36,55,70,91,69.59315830368462,71.42910220426938,80.8153824923347,5.593235104359089,5.836955908114897,4.151027656406804,100.0,Low
58,99,31,68,86,89,61,93,68,82,69.86430689617546,70.40238229490696,58.515235247174786,1.079967513132118,5.289097385434089,3.519923288608736,79.36352044512296,Low
66,82,79,91,62,98,56,74,71,99,75.5918290413064,73.48979038335268,84.32054408115651,0.7849056837869556,4.198831851148082,0.5751774136020467,72.06280193577851,Medium
64,84,68,91,48,79,52,64,42,89,68.0232511645184,66.184845547222,72.61755511742128,5.336772462254909,7.532831701243635,1.3031244239635507,90.49091602610643,Low
72,98,31,65,77,97,41,53,83,99,72.34800263016007,68.02274047973964,75.86909794240226,4.35500160075079,5.86078714097631,1.5202915903284935,96.41412232003597,Low
55,86,85,97,51,96,45,53,68,97,71.94322150246762,68.63058964467899,51.51583021675778,2.8213775097557705,8.106270818893824,2.403765173953376,88.04224655703865,Low
93,100,34,76,81,87,43,79,41,100,65.25413402559212,66.70275126827238,88.22783162655152,4.637891851548626,5.819342303111593,3.1402205776480976,86.38750572325259,Low
46,88,46,69,76,83,55,83,74,100,70.15414384811976,68.7662943131013,91.77139806339409,4.57791973624348,5.866645962125151,1.4740707825378034,83.49359588702596,Low
